,Date/Time,Lat,Lon,Base,date,month,week,MonthDayNum,HourOfDay,DayOfWeekNum,DayOfWeek,Time,labels,labels_DBSCAN
74516,2014-06-06 01:55:00,40.74,-74.0059,B02598,2014-06-06,6,23,6,1,5,Friday,Friday-1,5,0
589089,2014-06-20 01:14:00,40.7258,-74.0029,B02682,2014-06-20,6,25,20,1,5,Friday,Friday-1,5,0
386148,2014-06-20 01:47:00,40.751,-73.9798,B02617,2014-06-20,6,25,20,1,5,Friday,Friday-1,2,0
543018,2014-06-13 01:17:00,40.7076,-74.0118,B02682,2014-06-13,6,24,13,1,5,Friday,Friday-1,5,0
433810,2014-06-27 01:02:00,40.7424,-73.9856,B02617,2014-06-27,6,26,27,1,5,Friday,Friday-1,5,0
386083,2014-06-20 01:05:00,40.7642,-73.9883,B02617,2014-06-20,6,25,20,1,5,Friday,Friday-1,2,0
74458,2014-06-06 01:18:00,40.7141,-73.9558,B02598,2014-06-06,6,23,6,1,5,Friday,Friday-1,1,0
342386,2014-06-13 01:58:00,40.7564,-73.9844,B02617,2014-06-13,6,24,13,1,5,Friday,Friday-1,2,0
386112,2014-06-20 01:19:00,40.7454,-73.9868,B02617,2014-06-20,6,25,20,1,5,Friday,Friday-1,5,0
135687,2014-06-13 01:53:00,40.7108,-73.936,B02598,2014-06-13,6,24,13,1,5,Friday,Friday-1,1,0
543025,2014-06-13 01:20:00,40.7421,-73.9851,B02682,2014-06-13,6,24,13,1,5,Friday,Friday-1,5,0
193332,2014-06-20 01:51:00,40.7185,-73.9892,B02598,2014-06-20,6,25,20,1,5,Friday,Friday-1,5,0
247409,2014-06-27 01:46:00,40.749,-73.9918,B02598,2014-06-27,6,26,27,1,5,Friday,Friday-1,5,0
632498,2014-06-27 01:21:00,40.7472,-73.9864,B02682,2014-06-27,6,26,27,1,5,Friday,Friday-1,5,0
135683,2014-06-13 01:52:00,40.7081,-74.0064,B02598,2014-06-13,6,24,13,1,5,Friday,Friday-1,5,0
342345,2014-06-13 01:31:00,40.7144,-73.9981,B02617,2014-06-13,6,24,13,1,5,Friday,Friday-1,5,0
74498,2014-06-06 01:43:00,40.6231,-74.0252,B02598,2014-06-06,6,23,6,1,5,Friday,Friday-1,1,0
342359,2014-06-13 01:40:00,40.7396,-74.002,B02617,2014-06-13,6,24,13,1,5,Friday,Friday-1,5,0
433878,2014-06-27 01:44:00,40.7382,-73.9874,B02617,2014-06-27,6,26,27,1,5,Friday,Friday-1,5,0
